x0,y0,x2,y1,x4,y2,x6,y3,x8,y4,x10,y5,x12,y6,x14,y7,x16,y8,x18,y9,x20,y10,x22,y11,x24,y12,x26,y13,x28,y14,x30,y15,x32,y16,x34,y17,x36,y18,x38,y19,x40,y20,label
0.0,0.0,-0.03254,-0.02484,-0.05711,-0.09272,-0.07429,-0.14852,-0.09979,-0.18579,-0.03372,-0.15451,-0.03985,-0.24112,-0.04313,-0.29459,-0.04535,-0.33833,-0.00519,-0.1597,-0.0264,-0.21596,-0.04381,-0.19747,-0.05276,-0.18193,0.02518,-0.14769,0.01347,-0.21993,-0.00108,-0.23813,-0.00738,-0.25423,0.0553,-0.1247,0.05294,-0.16274,0.04101,-0.17007,0.03383,-0.17404,8
0.0,0.0,-0.05011,-0.02323,-0.08578,-0.09861,-0.10445,-0.16951,-0.12225,-0.22207,-0.06924,-0.15965,-0.08872,-0.22067,-0.10336,-0.2619,-0.11696,-0.29305,-0.03722,-0.17936,-0.06674,-0.23925,-0.09294,-0.24196,-0.10941,-0.24721,-0.00114,-0.18506,-0.013,-0.27251,-0.02845,-0.32951,-0.03876,-0.38143,0.03634,-0.17596,0.06102,-0.23926,0.07997,-0.27804,0.09634,-0.31109,8
0.0,0.0,-0.05005,-0.03294,-0.08558,-0.11299,-0.10478,-0.18458,-0.12975,-0.23435,-0.07254,-0.17766,-0.08438,-0.24269,-0.09457,-0.28994,-0.10475,-0.32561,-0.03986,-0.19125,-0.06472,-0.25258,-0.08397,-0.25617,-0.09672,-0.26039,-0.0023,-0.19204,-0.01131,-0.27559,-0.0239,-0.33252,-0.03426,-0.38325,0.03758,-0.1784,0.06293,-0.24064,0.0814,-0.28287,0.0968,-0.31975,8
0.0,0.0,-0.05116,-0.03226,-0.08683,-0.11111,-0.10411,-0.18355,-0.12722,-0.2347,-0.07209,-0.17347,-0.08745,-0.23183,-0.10046,-0.26641,-0.11363,-0.28815,-0.04003,-0.18975,-0.06496,-0.25529,-0.08546,-0.26515,-0.10082,-0.27362,-0.00256,-0.19126,-0.01069,-0.27613,-0.02348,-0.33303,-0.03409,-0.38374,0.03707,-0.17785,0.06338,-0.23837,0.08223,-0.27967,0.09767,-0.3163,8
0.0,0.0,-0.0522,-0.03433,-0.08634,-0.11415,-0.10296,-0.18869,-0.12674,-0.23914,-0.07134,-0.17533,-0.08991,-0.22992,-0.1105,-0.25461,-0.12935,-0.26183,-0.04089,-0.19204,-0.06404,-0.26585,-0.08338,-0.29885,-0.09944,-0.33108,-0.00316,-0.19331,-0.01127,-0.28162,-0.02462,-0.34108,-0.03549,-0.3925,0.03716,-0.17986,0.06353,-0.24113,0.08192,-0.28391,0.09674,-0.32003,8
0.0,0.0,-0.053,-0.03793,-0.08702,-0.11777,-0.10498,-0.19194,-0.13112,-0.24063,-0.07203,-0.17768,-0.09237,-0.23346,-0.11336,-0.25577,-0.13176,-0.26006,-0.0417,-0.19388,-0.06129,-0.27946,-0.07592,-0.33341,-0.08822,-0.38477,-0.00447,-0.19448,-0.01171,-0.2835,-0.02152,-0.34366,-0.02935,-0.39226,0.03661,-0.18191,0.06303,-0.24266,0.08213,-0.28448,0.09768,-0.31739,8
0.0,0.0,-0.05163,-0.03722,-0.0876,-0.1166,-0.10618,-0.1897,-0.12638,-0.24732,-0.07409,-0.18815,-0.08662,-0.25922,-0.09407,-0.30929,-0.10136,-0.34695,-0.04117,-0.19998,-0.06457,-0.2657,-0.08085,-0.27068,-0.09221,-0.2707,-0.00501,-0.20141,-0.01416,-0.28572,-0.02469,-0.34591,-0.03475,-0.39816,0.03452,-0.1896,0.06068,-0.24992,0.08003,-0.29145,0.09542,-0.32528,8
0.0,0.0,-0.05037,-0.03955,-0.08587,-0.11954,-0.10525,-0.19273,-0.13035,-0.23999,-0.07395,-0.17745,-0.09398,-0.22985,-0.11243,-0.25585,-0.1288,-0.26502,-0.0438,-0.19437,-0.06768,-0.26811,-0.08535,-0.30439,-0.1,-0.33976,-0.00543,-0.19625,-0.01416,-0.28404,-0.02653,-0.34331,-0.03665,-0.39486,0.03623,-0.18327,0.0626,-0.24355,0.0818,-0.28542,0.09737,-0.32048,8
0.0,0.0,-0.0501,-0.03647,-0.08571,-0.11901,-0.1045,-0.1926,-0.13108,-0.24505,-0.07464,-0.18854,-0.07961,-0.2622,-0.08269,-0.32244,-0.08332,-0.36799,-0.04012,-0.19823,-0.06175,-0.26002,-0.07276,-0.24503,-0.07655,-0.23368,-0.0023,-0.1984,-0.01067,-0.28259,-0.02211,-0.33928,-0.03192,-0.39133,0.03767,-0.18485,0.06326,-0.24363,0.08207,-0.28376,0.09707,-0.31882,8
0.0,0.0,-0.05207,-0.03859,-0.08795,-0.12059,-0.10717,-0.19783,-0.13385,-0.24667,-0.07641,-0.18147,-0.09311,-0.23759,-0.10584,-0.26881,-0.11735,-0.28447,-0.04423,-0.19727,-0.06958,-0.27148,-0.08639,-0.30122,-0.09902,-0.33337,-0.00537,-0.19809,-0.0158,-0.28625,-0.02835,-0.34637,-0.03822,-0.39984,0.0362,-0.18554,0.06176,-0.24522,0.0805,-0.28642,0.09591,-0.32254,8
0.0,0.0,-0.05173,-0.03876,-0.08883,-0.11977,-0.10868,-0.19679,-0.13544,-0.24932,-0.07948,-0.18391,-0.09573,-0.24261,-0.10442,-0.2782,-0.11116,-0.30002,-0.04572,-0.19888,-0.06935,-0.26679,-0.08202,-0.28224,-0.09021,-0.30081,-0.00667,-0.20042,-0.01716,-0.28431,-0.02923,-0.34395,-0.03965,-0.39861,0.0354,-0.1886,0.06076,-0.24737,0.07905,-0.28771,0.09374,-0.32331,8
0.0,0.0,-0.0516,-0.03746,-0.08672,-0.12046,-0.10515,-0.19565,-0.13204,-0.24576,-0.07396,-0.18722,-0.08163,-0.25763,-0.08595,-0.31162,-0.08912,-0.35414,-0.04036,-0.19857,-0.06487,-0.26192,-0.08012,-0.25601,-0.08815,-0.25259,-0.00252,-0.19966,-0.012,-0.28389,-0.02376,-0.34086,-0.03334,-0.39246,0.03814,-0.18691,0.06397,-0.24623,0.08234,-0.28629,0.09761,-0.32129,8
0.0,0.0,-0.0501,-0.03864,-0.08415,-0.12013,-0.10251,-0.19384,-0.12708,-0.24234,-0.07041,-0.18054,-0.08396,-0.24007,-0.09448,-0.27795,-0.10405,-0.30267,-0.03845,-0.1949,-0.06103,-0.25983,-0.07776,-0.26984,-0.08943,-0.28039,-0.00048,-0.19558,-0.00778,-0.28067,-0.02031,-0.3384,-0.0306,-0.38999,0.03959,-0.18216,0.06695,-0.24065,0.08536,-0.28119,0.10049,-0.31658,8
0.0,0.0,-0.05064,-0.03749,-0.08466,-0.11917,-0.10279,-0.19388,-0.12818,-0.24236,-0.07165,-0.17972,-0.08272,-0.24181,-0.09033,-0.28475,-0.09693,-0.31435,-0.03957,-0.19284,-0.06377,-0.25683,-0.08189,-0.26887,-0.09461,-0.28316,-0.00141,-0.19281,-0.00887,-0.27927,-0.02043,-0.3378,-0.02975,-0.3897,0.03901,-0.17965,0.06642,-0.23999,0.08537,-0.28099,0.10101,-0.31671,8
0.0,0.0,-0.05125,-0.03744,-0.08529,-0.11651,-0.10408,-0.18974,-0.12863,-0.23756,-0.06947,-0.17652,-0.08565,-0.23095,-0.0998,-0.26426,-0.11259,-0.28153,-0.03938,-0.19156,-0.06465,-0.2611,-0.08597,-0.28886,-0.1038,-0.31922,-0.00225,-0.19212,-0.00893,-0.27811,-0.02152,-0.33623,-0.03239,-0.38692,0.03697,-0.17845,0.0645,-0.23864,0.08358,-0.28012,0.09914,-0.31568,8
0.0,0.0,-0.05043,-0.04059,-0.08417,-0.11817,-0.1036,-0.19055,-0.1299,-0.23969,-0.07044,-0.18142,-0.08636,-0.23573,-0.09847,-0.26879,-0.10802,-0.28566,-0.03958,-0.19392,-0.06287,-0.26385,-0.08218,-0.29189,-0.09726,-0.32173,-0.00215,-0.19324,-0.0084,-0.27871,-0.02014,-0.33761,-0.02978,-0.38924,0.03769,-0.17867,0.06572,-0.2385,0.08468,-0.28017,0.10022,-0.31588,8
